[1620,20]
[5745,24]
[1809,52]
[1239,56]
[456,77]
[1254,80]
[1689,104]
[2109,114]
[741,135]
[1242,155]
[2619,182]
[7899,207]
[1851,215]
[543,225]
[594,253]
[198,264]
[474,282]
[744,291]
[1596,295]
[2574,318]
[5367,335]
[10680,347]
[11301,361]
[4488,380]
[3924,384]
[2133,395]
[138,398]
[204,418]
[5253,423]
[1218,449]
[3588,475]
[2808,498]
[150,502]
[2688,527]
[11376,541]
[13197,570]
[2994,573]
[2766,574]
[2880,604]
[1089,606]
[3606,627]
[5877,642]
[4680,663]
[6132,687]
[3168,709]
[1209,724]
[2493,730]
[1251,756]
[1086,761]
[2916,774]
[2916,801]
[738,814]
[6231,830]
[3789,847]
[3249,872]
[2811,875]
[747,876]
[537,884]
[2568,885]
[2892,905]
[2421,924]
[1707,927]
[231,953]
[3078,959]
[6423,983]
[3525,1011]
[3165,1014]
[213,1030]
[1665,1059]
[120,1062]
[1770,1086]
[1743,1096]
[1653,1106]
[1488,1118]
[3096,1134]
[4494,1142]
[7620,1158]
[6753,1176]
[5379,1188]
[5028,1214]
[5352,1216]
[3894,1245]
[4161,1255]
[4905,1277]
[543,1293]
[7905,1311]
[1128,1327]
[1698,1330]
[2595,1335]
[6459,1351]
[324,1368]
[4776,1381]
[5475,1383]
[5964,1389]
[5877,1418]
[2451,1420]
[1497,1448]
[1185,1456]
[747,1473]
[474,1484]
[1452,1489]
[2202,1495]
[5493,1507]
[4461,1534]
[6486,1558]
[1440,1580]
[3081,1590]
[2337,1613]
[888,1618]
[6588,1644]
[978,1654]
[2187,1677]
[1929,1705]
[3015,1732]
[2751,1752]
[4242,1762]
[5052,1792]
[768,1794]
[4206,1816]
[3945,1838]
[2121,1856]
[138,1859]
[2706,1871]
[2250,1893]
[1527,1894]
[711,1910]
[3078,1939]
[2430,1959]
[3891,1970]
[2046,1991]
[1419,2001]
[897,2028]
[3162,2048]
[4329,2067]
[1479,2079]
[2292,2106]
[873,2124]
[789,2132]
[1638,2159]
[657,2175]
[1779,2185]
[1248,2210]
[2427,2212]
[3297,2213]
[4284,2230]
[1542,2249]
[1728,2272]
[894,2296]
[4761,2316]
[1521,2330]
[2400,2344]
[2535,2371]
[1587,2393]
[696,2406]
[2514,2435]
[2532,2460]
[1359,2480]
[3345,2486]
[4542,2506]
[6588,2513]
[6957,2538]
[4638,2546]
[2613,2552]
[525,2555]
[7092,2584]
[2352,2593]
[3405,2614]
[3183,2639]
[5019,2653]
[2298,2675]
[642,2677]
[561,2697]
[69,2700]
[2385,2707]
[3093,2728]
[2739,2739]
[2670,2741]
[2553,2743]
[4797,2753]
[5103,2782]
[4002,2789]
[2103,2811]
[1872,2829]
[1179,2846]
[1845,2861]
[3333,2891]
[5037,2917]
[408,2927]
[1905,2931]
[12537,2935]
[297,2962]
[111,2990]
[276,3016]
[3060,3031]
[2154,3048]
[435,3049]
[3945,3078]
[2394,3089]
[450,3100]
[2574,3112]
[2760,3132]
[4614,3150]
[6261,3178]
[5604,3185]
[5496,3200]
[5067,3220]
[4083,3239]
[804,3250]
[534,3252]
[2064,3270]
[3705,3273]
[3813,3277]
[4245,3279]
[9798,3286]
[5418,3310]
[1578,3319]
[666,3320]
[618,3337]
[114,3363]
[8709,3380]
[8523,3395]
[3561,3405]
[5535,3422]
[5844,3427]
[4125,3454]
[3366,3457]
[1131,3473]
[1023,3501]
