[2612, 30]
[1348, 48]
[2456, 52]
[3684, 78]
[2460, 98]
[912, 102]
[4956, 123]
[2268, 146]
[912, 170]
[8228, 198]
[8236, 211]
[8440, 232]
[7016, 257]
[292, 260]
[1832, 267]
[8440, 280]
[5468, 310]
[1508, 311]
[404, 336]
[1152, 346]
[2356, 356]
[1948, 380]
[1320, 384]
[108, 393]
[360, 410]
[2744, 412]
[3320, 437]
[8228, 466]
[7340, 473]
[2064, 490]
[4320, 508]
[128, 522]
[2644, 550]
[2856, 552]
[4544, 581]
[1064, 591]
[3924, 608]
[3104, 627]
[2856, 656]
[3052, 680]
[3944, 707]
[3048, 735]
[2236, 745]
[2436, 775]
[2888, 792]
[5248, 803]
[2892, 824]
[1468, 849]
[6908, 866]
[7964, 876]
[5156, 898]
[4412, 912]
[4076, 924]
[668, 949]
[4412, 958]
[3620, 984]
[2540, 993]
[3852, 1005]
[748, 1032]
[124, 1044]
[2856, 1045]
[6156, 1051]
[9728, 1052]
[12768, 1075]
[9656, 1086]
[5124, 1090]
[276, 1094]
[4680, 1095]
[5196, 1111]
[1320, 1135]
[1320, 1152]
[8492, 1161]
[13172, 1170]
[5340, 1197]
[2992, 1201]
[1248, 1212]
[444, 1239]
[2396, 1259]
[2236, 1285]
[120, 1300]
[1520, 1317]
[3608, 1320]
[7076, 1331]
[9632, 1337]
[7260, 1366]
[3456, 1380]
[4532, 1385]
[420, 1412]
[5084, 1435]
[4452, 1449]
[1808, 1451]
[348, 1472]
[248, 1488]
[536, 1493]
[748, 1503]
[2316, 1519]
[668, 1534]
[888, 1560]
[716, 1569]
[580, 1596]
[7040, 1613]
[6264, 1638]
[2644, 1640]
[84, 1646]
[2088, 1671]
[2700, 1676]
[5044, 1689]
[7912, 1717]
[3300, 1721]
[1620, 1730]
[444, 1754]
[4220, 1770]
[5876, 1795]
[6368, 1796]
[6892, 1804]
[2980, 1829]
[4820, 1849]
[776, 1870]
[2060, 1877]
[2136, 1883]
[2488, 1912]
[1620, 1927]
[184, 1936]
[3444, 1937]
[3848, 1947]
[428, 1969]
[756, 1995]
[6080, 2010]
[6364, 2015]
[2976, 2042]
[1140, 2061]
[716, 2075]
[528, 2082]
[1140, 2104]
[1184, 2109]
[6396, 2122]
[5876, 2142]
[6368, 2143]
[8440, 2162]
[5776, 2181]
[4964, 2182]
[2532, 2196]
[6648, 2203]
[6940, 2230]
[1152, 2244]
[1236, 2270]
[5188, 2275]
[6204, 2279]
[716, 2308]
[2100, 2316]
[12876, 2328]
[4868, 2351]
[2636, 2371]
[144, 2391]
[360, 2402]
[1620, 2430]
[220, 2456]
[3776, 2465]
[6364, 2489]
[3692, 2497]
[2376, 2501]
[3664, 2531]
[528, 2550]
[880, 2556]
[1972, 2559]
[4860, 2589]
[10432, 2606]
[2496, 2621]
[708, 2624]
[9756, 2625]
[12788, 2653]
[588, 2658]
[4468, 2674]
[1152, 2698]
[1464, 2712]
[2528, 2733]
[1332, 2753]
[756, 2764]
[1152, 2790]
[1116, 2798]
[76, 2825]
[360, 2835]
[540, 2864]
[4024, 2893]
[2404, 2912]
[1132, 2931]
[2800, 2955]
[1040, 2981]
[6544, 2985]
[888, 3013]
[3436, 3031]
[4968, 3036]
[3288, 3066]
[1360, 3082]
[192, 3085]
[3404, 3104]
[232, 3130]
[444, 3148]
[2732, 3172]
[1040, 3196]
[860, 3205]
[5180, 3216]
[2356, 3238]
[2524, 3257]
[1020, 3277]
[3356, 3303]
[1720, 3316]
[1736, 3318]
[3620, 3320]
[3788, 3344]
[5932, 3370]
[3652, 3396]
[2908, 3401]
[1048, 3420]
[436, 3434]
[416, 3439]
[2876, 3445]
[1228, 3472]
[428, 3483]
[3200, 3495]
[2416, 3523]
[3764, 3542]
[292, 3558]
[88, 3561]
[432, 3591]
[376, 3619]
[2408, 3625]
[3740, 3650]
[1408, 3672]
[476, 3677]
[424, 3691]
[6300, 3692]
[6868, 3694]
[412, 3724]
[5872, 3728]
[5760, 3758]
[5036, 3759]
[3972, 3764]
[176, 3789]
[592, 3816]
[16, 3820]
[1524, 3821]
[6636, 3843]
[9852, 3851]
[2004, 3875]
[4020, 3897]
[1152, 3925]
[5196, 3948]
[108, 3976]
[2124, 4002]
[3200, 4024]
[3764, 4042]
[404, 4066]
[1320, 4088]
[448, 4098]
[6804, 4099]
[8080, 4103]
[13904, 4116]
[8228, 4135]
[6260, 4146]
[1108, 4148]
[4876, 4173]
[5876, 4202]
[1144, 4205]
[6572, 4225]
[444, 4252]
[88, 4273]
[2292, 4274]
[4164, 4291]
[4684, 4310]
[4656, 4328]
[220, 4338]
[2104, 4360]
[868, 4382]
[1172, 4401]
[1320, 4428]
[3044, 4436]
[6480, 4460]
[1872, 4476]
[384, 4491]
[5868, 4492]
[6188, 4493]
[6908, 4510]
[1320, 4525]
[448, 4535]
[1692, 4557]
[2476, 4583]
[920, 4592]
[416, 4613]
[2572, 4624]
[3596, 4632]
[3656, 4641]
[6640, 4650]
[10104, 4658]
[10448, 4673]
[9256, 4702]
[5652, 4710]
[3500, 4711]
[2268, 4722]
[6384, 4740]
[5324, 4763]
[18780, 4771]
[17320, 4797]
[12684, 4798]
[7196, 4800]
[5384, 4802]
[284, 4803]
[1592, 4819]
[124, 4846]
[2688, 4847]
[4656, 4859]
[6940, 4866]
[6844, 4891]
[3840, 4898]
[3776, 4913]
[5324, 4941]
[1372, 4953]
[444, 4957]
[480, 4972]
[284, 5002]
[1600, 5014]
[2196, 5017]
[2976, 5028]
[124, 5049]
[2688, 5050]
[4656, 5062]
[6940, 5069]
[7852, 5081]
[3840, 5105]
[3776, 5120]
[2620, 5131]
[2016, 5133]
[5324, 5150]
[18780, 5158]
[17320, 5184]
[12684, 5185]
[7196, 5187]
[5384, 5189]
[284, 5190]
[1592, 5206]
[124, 5233]
[2688, 5234]
[4656, 5246]
[6940, 5253]
[6844, 5278]
[3840, 5285]
[3776, 5300]
[4476, 5327]
[6332, 5329]
[9388, 5349]
[8288, 5367]
[3656, 5385]
[3596, 5398]
[2508, 5421]
[448, 5433]
[1248, 5445]
[6492, 5461]
[444, 5485]
[1276, 5495]
[4164, 5507]
[4780, 5526]
[784, 5540]
[28, 5542]
[700, 5566]
[812, 5572]
[1276, 5574]
[3648, 5576]
[6456, 5594]
[13316, 5595]
[18280, 5619]
[7932, 5635]
[604, 5658]
[1364, 5679]
[1460, 5709]
[1424, 5728]
[1204, 5741]
